Dutch,English
raar,weird
geprobeerd,tried
geleerd,learned
erover,over
raad,council
volg,follow
verkopen,to sell
geweldige,great
zover,as far
red,red
woont,lives
Amerika,America
lul,dick
gedacht,thought
bewijzen,prove
prijs,price
www,www
raken,touch
voorstellen,to introduce
vorige,previous
regel,rule
schrijven,to write
rot,rotten
gebouw,building
trekken,Pull
herinneren,to remind
dansen,to dance
gebracht,brought
meeste,most
koud,cold
jammer,Unfortunately
wegwezen,get out
macht,power
drugs,drug
geboren,born
dragen,to wear
keuze,choice
gefeliciteerd,congratulations
situatie,situation
missen,to miss
honger,hungry
betaald,paid
liefje,sweetheart
duurt,takes
schelen,care
kaart,Map
rij,queue
bal,ball
werkte,work
gedachten,thoughts
derde,third
rennen,run
namen,take
teken,sign
speelt,plays
stem,voice
bedrijf,company
moe,tired
tenzij,unless
dom,stupid
vlucht,flight
raak,striking
relatie,relation
lachen,laugh
leuke,nice
schuldig,guilty
negen,nine
tafel,table
sneller,faster
James,James
jong,young
vanwege,because of
beide,both
viel,fell
oog,eye
leek,seemed
gestuurd,steered
lijn,line
grapje,just kidding
komaan,come on
moesten,had to
daarvoor,therefor
onderweg,underway
lijst,list
vanuit,from
band,band
gelooft,believes
gemist,missed
sleutel,key
lag,lag
kont,ass
reis,trip
arm,arm
show,show
vertelt,tells
groep,group
belde,call
zweer,swear
agenten,agents
eer,honour
onmogelijk,impossible
steek,lurch
hel,hell
zwaar,heavy
tuurlijk,of course
bevel,order
jonge,young
kerk,church
huwelijk,wedding
delen,parts
sla,lettuce
Amerikaanse,American
wedstrijd,contest
maat,mate
allen,all
gebroken,broken
dromen,to dream
direct,straight away
luitenant,lieutenant
planeet,planet
vooral,mainly
missie,mission
midden,middle
gezin,family
gisteravond,yesterday evening
leiden,lead
dame,Lady
bericht,message
angst,fear
stierf,died
wagen,car
blijkbaar,evidently
kapot,Broken
zoekt,searches
ziel,soul
positie,position
waarvoor,for which
respect,respect
wet,law
gesprek,conversation
verleden,past
kost,cost
links,left
witte,white
ring,ring
da's,that's
regelen,arrange for
computer,computer
dronken,drunk
eind,end
deden,did
mijne,mine
gooi,throw
gast,guest
zul,such
muur,wall
dode,dead
gewerkt,worked
kende,knew
ma,ma
brand,fire
sluit,closing
zon,Sun
diep,deep
arme,poor
bureau,desk
partner,partner
zeiden,said
boord,board
deal,deal
leggen,lay
bom,bomb
rijk,Empire
meiden,fellow girls
held,hero
klote,lick
spreekt,speaks
vijand,enemy
schoenen,shoes
gewonnen,won
gebied,area
operatie,operation
volk,people
bewegen,to move
keek,watched
speel,play
zuster,sister
gelezen,read
achteruit,backwards
trein,train
extra,additional
lijk,dead body
bereiken,to achieve
zee,sea
cool,cool
broek,pair of trousers
aanval,attack
neus,nose
oma,Grandma
systeem,system
kalm,calm
code,code
sergeant,sergeant
hoog,high
draai,play
slachtoffer,victim
les,grade
uiteindelijk,in the end
verdwenen,gone
eiland,Island
geschreven,written
gewond,injured
plannen,plan
spul,stuff
uitleggen,to explain
haast,hast
liegen,to lie
la,la
vertaling,translation
beloofd,promised
rode,red
bracht,brought
paard,horse
winkel,store
warm,warmly
ex,ex
moeite,trouble
camera,camera
tijdje,while
interessant,interesting
geheime,secret
hoeven,hooves
feestje,party
persoonlijk,personal
gedownload,downloaded
vrede,peace
lot,lot
keus,choice
bus,bus
club,club
gevecht,battle
weggaan,go away
daarvan,of them
brief,letter
lastig,difficult
raam,window
levend,living
professor,professor
kiezen,select
liep,walked
vonden,found
hangt,hangs
sluiten,Close
verdienen,to deserve
helft,half
teveel,too many
leeg,empty
bleef,Remained
heerlijk,lovely
eraf,off
gelukt,success
helaas,unfortunately
stelen,to steal
benen,legs
gezet,set
bekijken,see
boodschap,errand
eikel,jerk
lift,elevator
been,leg
gekocht,purchased
boeken,books
groter,taller
opschieten,Hurry up
gevallen,cases
donker,dark
rechts,right
aandacht,attention
slaat,hit
ophouden,to hold up
drink,drink
slag,battle
vannacht,tonight
gehaald,achieved
speciaal,special
meegenomen,brought
koningin,queen
godsnaam,God sake
speciale,special one
test,test
geschiedenis,history
volledig,fully
zulke,such
raakt,hits
adres,address
alweer,again
meestal,mostly
park,park
regering,government
ouwe,old
bestaan,to exist
sheriff,sheriff
dak,roof
zwanger,pregnant
gehouden,kept
zelfmoord,suicide
vreemde,stranger
hopelijk,hopefully
adem,breath
vernietigen,destroy
betrokken,involved
betaal,pay
koop,purchase
nek,neck
brug,bridge
bezoek,visit
belt,call
kwalijk,bad
ongelooflijk,incredible
bar,bar
ijs,ice
overleven,survive
beiden,both
meenemen,take
gestorven,died
ontslagen,laid off
aantal,number of
vuile,dirty
geweer,gun
beurt,turn
werkelijk,really
dichtbij,close to
zwart,black
laatst,last
liegt,lies
voeten,feet
lees,read
wisten,knew
zingen,to sing
toestemming,permission
gestopt,stopped
zaten,sat
kort,short
gepakt,packed
knap,good looking
waarop,on which
betere,better
ontdekt,discovers
doorgaan,Get on
vlees,meat
richting,direction
ruzie,row
verdient,earnings
gesloten,Closed
welterusten,good night
belachelijk,ridiculous
rekening,account
verdorie,damn
ach,oh
monster,sample
verrassing,surprise
rechter,judge
ontsnappen,escape
gasten,guests
radio,radio
energie,energy
kennis,knowledge
verlies,loss
verschillende,various
tas,bag
veiligheid,safety
draagt,wear
enig,any
voet,foot
weekend,weekend
haalt,fetches
wijn,wine
verschil,difference
verkocht,sold
stoel,chair
commandant,commander
gat,hole
mes,knife
beslissing,decision
boom,tree
glas,glass
basis,base
schrijf,writing
reet,ass
knul,kid
captain,captain
der,of
verjaardag,birthday
geregeld,regularly
procent,per cent
neergeschoten,shot
spoor,track
kilometer,kilometer
bezorgd,Worried
opdracht,order
gevangen,caught
hoek,corner
vanmorgen,this morning
verandert,changes
vis,fish
waarvan,from what
heilige,holy
hoge,high
excuses,apologies
bedoelde,referred to
klas,class
kogel,ball
simpel,easy
hoogte,height
honden,dog
waarmee,by which
goud,gold
wens,wish
prachtige,gorgeous
zakken,to fail
eenmaal,once
kat,cat
plaatsen,place
rood,red
sleutels,Keys
ware,true
onderzoeken,to research
dachten,thought
vrijheid,freedom
sprak,spoke
gooien,throw
last,burden
rivier,river
hiermee,with this
noemt,mentions
blauwe,blue
hoelang,how long
tante,aunt
vele,many
soldaat,soldier
huilen,to cry
feit,fact
programma,program
getuige,witness
Tommy,Tommy
begraven,to bury
gezeten,sitting
grap,joke
Christus,Christ
vriendje,boyfriend
onmiddellijk,immediately
bereid,prepared
bedanken,to thank
twintig,twenty
beeld,image
verklaring,declaration
woon,living
twaalf,twelve
stelt,stilt
beweging,movement
duren,to last
patiënt,patient
thee,tea
indruk,impression
totaal,total
Parijs,Paris
ballen,ball
dorp,village
stukje,piece
leider,leader
zwaard,sword
kus,kiss
taxi,cab
gevoelens,feelings
verdachte,suspect
Engels,English
zware,heavy
vlak,right
soldaten,soldiers
zagen,saws
lol,LOL
langzaam,slowly
hangen,to hang
keuken,kitchen
wind,wind
cel,cell
breken,break
vergeef,forgery
geluid,sound
slaapt,sleeps
moorden,kill
aangenaam,nice to meet you
geholpen,helped
beest,beast
bier,beer
actie,action
dieren,animal
krant,newspaper
draag,carry
leidt,leading
ontvangen,receive
minuut,minute
levens,lifetime
appartement,apartment
draaien,to spin
vakantie,vacation
leer,doctrine
sterft,dies
mist,fog
vecht,Vecht
passen,to suit
jurk,dress
privé,privately
hoer,whore
chef,chef
wraak,revenge
sexy,sexy
gauw,quickly
slot,key lock
afstand,distance
Washington,Washington
gratis,free
wint,win
reed,drove
strijd,conflict
ervaring,experience
honderd,hundred
bouwen,to build
leiding,pipe
schoon,clean
geslagen,beaten
draait,turns
belangrijke,important
risico,risk
trap,staircase
prinses,princess
verantwoordelijk,responsible
neuken,fuck
goedenavond,good evening
slachtoffers,victims
bezit,possess
noemde,mentioned
armen,poor
roep,call
schoot,shot
vertrek,departure
restaurant,restaurant
geniet,enjoy
gepraat,talking
dikke,thick
rol,role
kerels,guy
tijden,times
misdaad,crime
homo,homo
leef,living
springen,to jump
directeur,director
erachter,behind
start,Start
wezen,being
rijdt,drives
duizend,thousand
wow,wow
prins,Prince
antwoorden,answers
raakte,gag
tekenen,draw
vieren,to celebrate
perfecte,perfect
zorgt,worries
behoorlijk,fairly
majesteit,majesty
luistert,listen
waarover,about what
nadenken,think it over
volgt,follow
neef,cousin
gestoord,disturbed
vertaald,translated
mijnheer,Sir
gewone,ordinary
taak,task
Londen,London
aanvallen,to attack
opa,grandpa
rook,smoke
geweten,known
trouw,fidelity
signaal,signal
kussen,To kiss
ouder,older
dankzij,thanks to
lach,smile
sporen,tracks
jas,jacket
godverdomme,Goddamnit
ster,star
sloeg,Slag
verschrikkelijk,terrible
vlug,rapid
tegenhouden,to prevent
wonder,wonder
toegang,access
afdeling,department
pad,path
besloten,decided
vorm,form
uren,hours
stopt,stops
medicijnen,medicines
bek,beak
majoor,major
gekozen,chosen
beveiliging,security
ah,Ah
fijne,nice
controleren,to check
onschuldig,innocent
dossier,file
boel,lot
durf,dare
maan,Moon
post,post
auto's,cars
betreft,Re
leeftijd,age
toevallig,by chance
bos,bunch
waarin,in which
ineens,suddenly
overleden,passed away
Clark,Clark
kosten,cost
gemeen,mean
landen,to land
enorm,enormous
sommigen,some
opeens,suddenly
senator,senator
gedoe,soil
enorme,huge
bloemen,flowers
steen,stone
opzij,sidewalk
openen,to open
tanden,teeth
hersenen,brain
getuigen,to give evidence
halve,half
verdwijnen,to disappear
gelogen,lied
past,suits
bespreken,discuss
motor,engine
ontsnapt,Escaped
momentje,just hold on
ontbijt,breakfast
toilet,toilet
uitzoeken,investigate
s nachts,at night
volwassen,grown up
eeuwig,eternal
afmaken,get done
dol,foolish
terecht,justly
oren,ear
machine,machine
verpest,messed up
verlaat,leaves
klootzakken,bastards
top,top
gemakkelijk,easy
gearresteerd,arrested
doos,box
geschoten,shot
gegeten,ate
betaalt,pays
rare,strange
big,pig
ochtend,morning
ruikt,smells
huid,skin
trut,bitch
verhalen,stories
verraden,betray
tonen,to show
hopen,to hope
virus,virus
bedoeling,intention
officier,officer
schreef,wrote
krachten,forces
papieren,paper
bijzonder,special
betekenen,mean
opnemen,record
strand,beach
rapport,report
binnenkort,shortly
twijfel,doubt
inspecteur,inspector
gekke,crazy
veld,field
rechercheur,detective
lunch,lunch
ondertitel,subtitle
opstaan,to get up
lui,lazy
gezocht,sought
ophalen,to pick up
verslaan,defeat
ergste,worst
drankje,drink
publiek,audience
nerveus,nervous
gedrag,behaviour
troep,rubbish
lab,label
roken,to smoke
keren,turn
zocht,sought
bad,bath
dik,fat
vaders,fathers
alarm,alarm
akkoord,agreement
doelwit,target
vaker,more often
schade,injury
bruiloft,wedding
gegevens,data
genoemd,named
terugkomen,coming back
vernietigd,destroyed
steken,stiches
geweld,violence
vergeven,to forgive
Amerikanen,Americans
mening,opinion
kies,molar
type,type
bedacht,invented
belangrijkste,main
las,weld
grens,border
paniek,panic
universiteit,university
verboden,forbidden
west,west
rotzooi,mess
moed,courage
dichterbij,closer
blanke,White person
verbergen,hide
gaaf,great
voorkomen,to prevent
duivel,devil
persoonlijke,personal
bepaalde,particular
Rome,Rome
rusten,rest
juffrouw,lady
fles,bottle
kaarten,Cards
dna,DNA
stappen,steps
vrije,free
schijnt,appears
favoriete,favourite
spelletje,game
broeder,brother
coach,coach
overkomen,come across
poort,gate
zomer,summer
afgesproken,agreed to meet
bron,source
advies,advice
Pete,Pete
Jason,Jason
sukkel,softy
geslapen,slept
jaloers,jealous
kogels,bullets
kamp,camp
zwak,weak
gevolgd,followed
vertrokken,left
stuurde,steered
menselijke,human
klanten,customers
lukken,work
Engeland,England
vingers,fingers
ziekte,disease
vissen,fishing
CIA,C.I.A
Mexico,Mexico
locatie,Location
vangen,to catch
waardoor,Causing
nagedacht,thought
gaven,give
medische,medical
geloofde,believed
mooiste,most beautiful
broers,brothers
tevreden,satisfied
city,City
details,details
gereed,ready
aangedaan,affected
zojuist,just now
menselijk,human
blik,look
verband,bandage
schot,shot
punten,points
domme,stupid
vogel,bird
project,project
trekt,pulls
stemmen,to vote
genoegen,pleasure
burgemeester,mayor
genezen,to cure
gedachte,thought
films,films
hoopte,hoped
doc,doctrine
gebruikte,used
gelaten,resistant
voeren,feed
bedenken,think about
bekijk,look at
verborgen,hidden
oplossing,solution
donder,Thunder
verdomd,damn
laag,low
km,km
bak,bin
speelde,played
verwachten,to expect
uitstekend,excellent
voedsel,food
arts,doctor
fouten,faults
super,super
testen,to test
kleur,colour
aangevallen,attacked
station,station
kip,chicken
Simon,Simon
piloot,pilot
truck,truck
duizenden,thousands
kluis,safe
maatje,Buddy
des,des
echtgenoot,husband
Don,Don
vermoordt,killed
gouden,golden
elf,eleven
gebleven,remained
taal,language
sterker,stronger
noorden,north
zwemmen,swimming
hoewel,although
leugenaar,liar
St.,St.
vermist,missing
toon,tone
vijanden,enemies
meegemaakt,experienced
compleet,completely
shirt,shirt
deuren,doors
vertrekt,leaves
lijden,suffering
geïnteresseerd,interested
veroorzaakt,caused
telefoontje,phone
proces,process
tent,tent
harder,harder
drank,drink
begrafenis,funeral
achtergelaten,abandoned
gedragen,behave
war,war
verstand,mind
stuurt,steering
snapt,gets
oplossen,to resolve
vaarwel,farewell
ongelofelijk,incredible
video,video
Adam,Adam
kregen,got
bevalt,pleases
hiervan,thus
vriendelijk,friendly
bereikt,reaches
Vegas,Vegas
Victor,Victor
jagen,to hunt
wit,white
heus,real
neen,no
bieden,offer
vrijdag,Friday
theorie,theory
genaamd,called
melk,milk
uwe,yours
dankbaar,satisfying
vluchten,to flee
paarden,horses
sterf,die
blind,blind
vorig,last
koffer,Suitcase
vasthouden,to hold
carrière,career
vliegveld,airport
waardeer,appreciate
verloor,lost
goden,gods
manieren,manners
normale,normal
geheimen,secrets
reizen,to travel
hoger,higher
schoonheid,beauty
straf,punishment
iedereen,everybody
minister,minister
eng,scary
yeah,yeah
verkoop,sale
berg,mountain
hoed,hat
Alice,Alice
klant,customer
vergadering,meeting
sterren,stars
papier,paper
gezelschap,company
jouwe,yours
koers,course
doorheen,through
kilo,kilo
stukken,pieces
volle,full
storm,storm
harde,tough
data,dates
black,black
beslist,specifically
vloer,floor
geheugen,memory
reken,calculation
liedje,song
blijkt,turns out
contract,contract
eigenaar,owner
verdiend,earned
ernstig,seriously
bende,gang
pers,press
gozer,guy
lid,member
hiervoor,for this
uitgenodigd,invited
blauw,blue
taart,cake
steun,support
moeders,mothers
stilte,Silence
toeval,chance
cent,penny
gevangene,prisoner
verliest,loses
eenheid,unit
roepen,call
wiens,whose
dader,perpetrator
aannemen,contract
talent,talent
herinnert,remember
hemelsnaam,heaven's sake
vandoor,off
ondertiteling,subtitle
borst,chest
you,You
koken,to cook
westen,West
lenen,to lend
dans,dance
aandoen,to affect
omgeving,surroundings
miljoenen,millions
vergissing,mistake
schepen,ships
gezond,healthy
ren,run
bijvoorbeeld,for example
tegenover,opposite
verstopt,constipated
korte,short
vreselijke,terrible
Chicago,Chicago
klus,job
graden,degree
sterke,strong
groene,green
jazeker,"Yes, of course"
beslissen,to decide
zuiden,south
lord,Lord
gaande,going on
verdieping,floor
magie,magic
erom,about
snelheid,speed
voren,forward
kunst,art
kelder,cellar
redt,saves
arresteren,to arrest
gewacht,waited
kwestie,matter
bidden,pray
beelden,images
niveau,level
hartelijk,heartfelt
geduld,patience
gespeeld,played
schattig,cute
nauwelijks,barely
pond,lb
bepaald,determined
King,King
ruim,roomy
leerde,learned
duur,expensive
nogmaals,once again
tuin,garden
zaterdag,Saturday
ondanks,despite
wijs,show
behandelen,to deal with
yo,yo
ruik,smell
gebouwd,built
liefste,Dear
bergen,mountains
aankomen,arrive
gave,gift
pakt,grabs
ideeën,ideas
ontvoerd,abducted
verzoek,request
kast,closet
Sean,Sean
geesten,ghost
orders,orders
droeg,wore
leugen,lie
hielp,helped
kerstmis,Christmas
gelul,dowel
gedeelte,section
mevr.,Mrs.
ontmoette,met
edelachtbare,prevailable
flat,flat
tong,tongue
logisch,logically
daardoor,thereby
controleer,check
stroom,current
afscheid,goodbye
gevangenen,prison
saai,boring
Marcus,Marcus
militaire,military
opgewonden,thrilled
makkelijker,easier
zuid,south
stenen,stone
lieg,lie
wc,WC
herinneringen,memories
badkamer,bathroom
vuren,fire
fuck,fuck
cadeau,gift
dertig,thirty
verantwoordelijkheid,responsibility
flink,considerable
biertje,beer
officieel,officially
